                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3216,                 3.4886,                 1.9754,                0.00313,                0.90909,                0.05718,                0.02539,                 1.7804,                  3.791,                  1.658,                0.00034,                0.00034,                0.00034
                      2,                  1.887,                 1.8775,                 1.4888,                0.00299,                 0.8961,                0.21053,                0.08736,                 1.8835,                 3.6863,                 1.5869,             0.00069538,             0.00069538,             0.00069538
                      3,                 1.8935,                 1.5827,                 1.4989,                0.00294,                0.88312,                0.01095,                0.00349,                 1.9838,                 3.8162,                 1.6765,               0.001046,               0.001046,               0.001046
                      4,                 1.8148,                 1.4205,                 1.5061,                      1,                0.09756,                0.26225,                0.09584,                 2.0397,                 3.7808,                 1.9723,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.8365,                 1.4164,                 1.5063,                0.50445,                0.36364,                 0.4021,                0.14686,                 2.0606,                 2.9057,                 1.7013,               0.001733,               0.001733,               0.001733
                      6,                 1.8071,                 1.3756,                 1.5134,                0.47104,                0.43949,                0.41206,                0.13374,                 2.2057,                 3.0135,                 1.7724,               0.001934,               0.001934,               0.001934
                      7,                 1.7909,                 1.3092,                 1.5028,                0.60794,                0.61039,                0.64136,                0.24805,                 2.0023,                  2.485,                 1.6975,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.7912,                 1.2627,                 1.4746,                0.77105,                0.74359,                0.77551,                0.35465,                 2.0083,                 1.5562,                 1.7149,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.8177,                 1.1955,                 1.4985,                0.82213,                0.72038,                0.74978,                0.31362,                 2.0706,                 1.9649,                 1.8659,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.7985,                 1.1215,                 1.5382,                0.85733,                0.78044,                0.81245,                0.39495,                 1.8431,                 1.8305,                 1.7356,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.7767,                 1.1095,                 1.4784,                0.89945,                0.76623,                 0.8402,                0.38106,                 1.8884,                 1.5265,                 1.6528,               0.001868,               0.001868,               0.001868
                     12,                 1.7343,                  1.025,                  1.437,                0.75851,                0.73428,                0.71806,                0.32057,                 2.0338,                 1.4179,                 1.6822,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.7366,                 1.0749,                 1.4397,                0.72429,                0.61416,                0.66674,                0.30801,                 2.1425,                 1.6814,                 1.7637,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.7427,                 1.0438,                   1.47,                0.84938,                 0.7324,                0.80728,                0.35949,                 2.1138,                 1.3507,                 1.7526,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.7122,                  1.014,                 1.4022,                0.90691,                0.75915,                0.87171,                0.38734,                  2.021,                 1.2357,                 1.6822,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.7376,                 1.0205,                 1.4421,                0.83835,                0.67354,                0.79057,                0.39101,                 1.9253,                 1.1651,                 1.6616,               0.001802,               0.001802,               0.001802
                     17,                 1.7046,                0.96437,                 1.4103,                0.96912,                0.81512,                0.89598,                0.46219,                 1.9347,                 1.0506,                 1.6693,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.7108,                0.95589,                 1.4405,                0.74434,                0.76623,                0.81026,                0.38865,                 2.1349,                 1.2093,                 1.8438,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.6954,                0.95292,                 1.4412,                0.87589,                0.76623,                0.83904,                0.41768,                 1.9148,                 1.1029,                 1.6403,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.6603,                0.94966,                 1.4424,                0.80822,                0.72727,                0.77685,                 0.3156,                 2.2119,                 1.2853,                 1.7452,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.7067,                0.91377,                 1.4345,                0.72779,                0.76623,                0.75047,                0.33285,                 2.0484,                 1.4389,                  1.659,               0.001736,               0.001736,               0.001736
                     22,                 1.6358,                0.93199,                 1.4144,                0.94404,                0.84416,                 0.8902,                0.41711,                 2.0051,                 1.1416,                 1.6714,              0.0017228,              0.0017228,              0.0017228
                     23,                  1.669,                 0.9563,                 1.4114,                0.91939,                0.83117,                0.88396,                0.43816,                 1.9359,                 1.0989,                 1.6961,              0.0017096,              0.0017096,              0.0017096
                     24,                  1.666,                0.95362,                 1.4648,                0.95528,                0.85714,                0.93456,                0.44861,                 1.9129,                0.97512,                  1.668,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.6428,                0.92807,                 1.4088,                0.96064,                 0.8961,                0.95682,                0.46314,                  1.817,                0.91783,                 1.5621,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.6548,                0.93681,                 1.4206,                 0.9731,                0.85714,                0.93283,                0.46492,                 1.8639,                0.96582,                 1.6101,                0.00167,                0.00167,                0.00167
                     27,                  1.662,                0.90084,                 1.4146,                0.98871,                0.87013,                0.93933,                0.47791,                 1.7877,                 1.0204,                 1.6165,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.6493,                0.92364,                 1.4059,                0.97077,                0.86266,                0.91975,                  0.444,                 1.9963,                0.93344,                 1.6539,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.6692,                0.90148,                 1.4054,                0.95239,                0.87013,                  0.896,                0.40818,                 2.0316,                 1.0506,                  1.764,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.6583,                0.89368,                 1.4309,                0.83796,                0.87311,                0.88174,                 0.4322,                 1.9842,                0.98443,                 1.6974,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.6126,                0.84946,                 1.3786,                0.94721,                0.88312,                0.93301,                0.46571,                 1.8694,                0.88876,                 1.6118,               0.001604,               0.001604,               0.001604
                     32,                 1.6381,                0.89025,                 1.3953,                0.98566,                0.89259,                0.93109,                0.46628,                 1.9409,                0.85978,                 1.6396,              0.0015908,              0.0015908,              0.0015908
                     33,                  1.638,                0.84969,                 1.3785,                0.92899,                 0.8961,                0.91931,                 0.4797,                 1.9704,                0.89151,                 1.7152,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.5808,                0.81037,                   1.38,                0.95663,                0.88312,                0.94797,                0.49441,                 1.9113,                0.88058,                 1.6495,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.6032,                0.80962,                 1.3804,                0.95505,                0.87013,                 0.9341,                0.47647,                 1.9144,                  0.886,                 1.6659,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.5857,                0.84006,                  1.369,                0.94937,                0.87013,                0.92096,                 0.4347,                 1.9633,                 1.0135,                 1.6849,               0.001538,               0.001538,               0.001538
                     37,                 1.5858,                0.81886,                 1.3816,                0.95935,                0.91959,                0.93337,                0.48316,                 1.8616,                0.81596,                 1.6695,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.5904,                 0.8174,                  1.362,                0.94512,                0.87013,                0.93542,                0.46194,                 1.9306,                0.91407,                 1.6342,              0.0015116,              0.0015116,              0.0015116
                     39,                 1.6053,                0.80764,                 1.3778,                0.93915,                0.88312,                0.92322,                0.45478,                 1.8928,                0.99055,                 1.6041,              0.0014984,              0.0014984,              0.0014984
                     40,                 1.5939,                0.80556,                 1.3741,                0.94463,                0.88634,                0.92489,                0.48571,                 1.9657,                0.87215,                 1.6904,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.5488,                0.79073,                 1.3758,                0.98583,                0.90361,                0.94383,                0.48917,                 1.8037,                0.93421,                  1.582,               0.001472,               0.001472,               0.001472
                     42,                 1.5591,                  0.791,                 1.3679,                0.92054,                0.92208,                0.96107,                0.46003,                 1.9527,                0.85223,                 1.6692,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.6042,                0.81379,                 1.3968,                0.88988,                0.80519,                0.88234,                0.38816,                 2.1121,                 1.1787,                  1.731,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.5702,                0.79599,                 1.3608,                 0.9859,                0.90797,                0.94303,                0.47577,                  1.889,                0.87579,                 1.6424,              0.0014324,              0.0014324,              0.0014324
                     45,                 1.5816,                0.80676,                 1.3726,                0.97087,                0.86571,                 0.9457,                0.48623,                 1.7845,                0.85359,                  1.622,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.5454,                0.77561,                 1.3664,                0.92616,                0.80519,                0.86505,                0.43957,                 1.8575,                0.97683,                 1.5962,               0.001406,               0.001406,               0.001406
                     47,                 1.5634,                0.80661,                 1.3401,                0.97139,                0.88197,                0.93638,                0.46906,                 1.8575,                0.98332,                 1.6102,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.5288,                0.80695,                 1.3606,                0.92749,                0.80519,                0.88635,                0.44407,                 1.8248,                0.94341,                 1.6471,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.5611,                0.79244,                 1.3738,                0.93435,                0.88312,                0.93081,                0.46133,                 1.8768,                0.85514,                 1.6842,              0.0013664,              0.0013664,              0.0013664
                     50,                 1.5395,                  0.778,                 1.3734,                 0.9709,                0.86663,                0.91471,                0.49372,                  1.854,                0.89135,                 1.6291,              0.0013532,              0.0013532,              0.0013532
                     51,                 1.5085,                0.76424,                  1.325,                0.94337,                0.86545,                0.92705,                0.44114,                 2.0234,                0.84969,                 1.7485,                0.00134,                0.00134,                0.00134
                     52,                 1.5301,                0.75263,                 1.3534,                0.97094,                0.86798,                0.91951,                0.45644,                 2.0152,                 0.7991,                 1.8013,              0.0013268,              0.0013268,              0.0013268
                     53,                 1.5457,                0.76127,                 1.3574,                0.96661,                0.88312,                0.95806,                0.46198,                 2.0015,                0.84908,                 1.7313,              0.0013136,              0.0013136,              0.0013136
                     54,                 1.5467,                0.74937,                 1.3809,                 0.9319,                0.88857,                0.95027,                 0.4386,                  2.038,                0.80094,                 1.7038,              0.0013004,              0.0013004,              0.0013004
                     55,                  1.535,                0.72952,                 1.3531,                0.94155,                0.88312,                0.93618,                0.47944,                 1.9016,                0.78727,                 1.6732,              0.0012872,              0.0012872,              0.0012872
                     56,                 1.5547,                0.75696,                 1.3717,                 0.9806,                 0.8961,                0.95002,                0.49126,                 1.9223,                0.75533,                  1.637,               0.001274,               0.001274,               0.001274
                     57,                 1.5697,                0.75795,                 1.3667,                0.90148,                0.83189,                0.88127,                0.44457,                 1.9538,                  1.026,                 1.6939,              0.0012608,              0.0012608,              0.0012608
                     58,                 1.5844,                0.75838,                 1.3827,                0.97675,                0.92208,                 0.9676,                0.46834,                 1.8934,                0.79138,                 1.6593,              0.0012476,              0.0012476,              0.0012476
                     59,                 1.5288,                0.72982,                 1.3571,                0.97218,                0.90772,                0.96365,                0.48413,                 1.9187,                0.88411,                 1.6294,              0.0012344,              0.0012344,              0.0012344
                     60,                 1.5577,                0.74058,                 1.3529,                0.95773,                0.88286,                0.91392,                0.47134,                 1.8659,                0.83363,                  1.646,              0.0012212,              0.0012212,              0.0012212
                     61,                 1.5407,                0.73555,                 1.3454,                0.97586,                0.90909,                0.94428,                0.50078,                  1.923,                0.81747,                 1.6709,               0.001208,               0.001208,               0.001208
                     62,                 1.5455,                0.74404,                 1.3752,                0.96875,                 0.8961,                0.94109,                0.48664,                    1.9,                 0.8304,                 1.6905,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.4907,                0.71394,                 1.3621,                0.93538,                0.94002,                0.96401,                 0.4808,                 1.8403,                0.78157,                 1.6505,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.5234,                0.73237,                 1.3399,                0.95641,                0.88312,                 0.9379,                0.48454,                 1.8721,                0.81805,                 1.6255,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.4843,                 0.7291,                 1.2965,                0.95862,                0.90263,                0.96298,                0.47203,                 1.9891,                0.76908,                 1.7099,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.4924,                0.72361,                 1.3006,                 0.9662,                0.87013,                0.91767,                0.49389,                  1.828,                 0.7551,                 1.6068,               0.001142,               0.001142,               0.001142
                     67,                 1.4969,                0.70813,                 1.3308,                0.97941,                 0.8961,                0.95803,                0.47273,                 1.7994,                0.73237,                 1.6032,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.4451,                0.66806,                 1.3016,                0.96515,                0.93506,                0.97583,                0.48143,                 1.8606,                0.79011,                 1.6099,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.4608,                0.69325,                 1.3148,                0.93142,                 0.8961,                0.94809,                0.50144,                 1.8464,                0.72924,                 1.5877,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.4579,                0.68911,                 1.3081,                0.90855,                0.97403,                0.97712,                0.50515,                 1.7808,                0.76135,                 1.5637,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.4572,                0.68835,                 1.3072,                0.99429,                0.93506,                0.96645,                 0.5277,                 1.8259,                0.73077,                 1.5743,               0.001076,               0.001076,               0.001076
                     72,                 1.4397,                0.70445,                 1.3049,                0.95048,                0.88312,                0.91773,                0.47611,                 1.9436,                0.80999,                 1.6846,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.4924,                0.68451,                 1.3483,                0.97496,                0.90909,                0.96959,                0.49701,                 1.8801,                0.76629,                 1.6641,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.4847,                0.70031,                 1.2937,                0.94713,                0.93073,                0.96227,                0.47683,                 1.8696,                0.73061,                 1.6507,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.4609,                0.68114,                 1.3115,                0.95395,                0.79221,                 0.9124,                0.43671,                 2.0704,                0.81484,                 1.8056,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.4081,                0.66721,                 1.2752,                0.97509,                0.88312,                0.96309,                0.50382,                 1.8167,                0.72569,                 1.6031,                0.00101,                0.00101,                0.00101
                     77,                 1.4299,                0.65902,                 1.2813,                0.96438,                0.87013,                0.93013,                0.51797,                 1.8444,                0.77478,                 1.6337,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.4277,                0.66717,                 1.2913,                0.95926,                 0.9173,                0.96982,                0.49446,                 1.8547,                0.81909,                  1.623,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.4364,                0.67648,                 1.3113,                0.95699,                0.86691,                0.92312,                0.46426,                 1.8758,                0.92011,                 1.6563,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.4647,                0.68927,                 1.3253,                0.94256,                 0.8961,                0.94329,                0.46825,                 1.9108,                0.76252,                 1.6764,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.4512,                0.67506,                 1.3096,                0.92919,                0.88312,                0.92787,                0.48048,                 1.8576,                0.82531,                 1.6579,               0.000944,               0.000944,               0.000944
                     82,                 1.4075,                0.67345,                  1.282,                0.98584,                 0.9041,                0.95114,                0.49983,                 1.8018,                0.75022,                 1.5955,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.3818,                0.63719,                 1.2541,                0.96424,                0.88312,                0.94046,                0.50292,                 1.8254,                0.77307,                 1.6028,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.3977,                0.65059,                 1.2868,                0.93168,                 0.8961,                0.95439,                0.49385,                 1.9003,                0.72071,                 1.6661,              0.0009044,              0.0009044,              0.0009044
                     85,                  1.421,                0.65121,                 1.3006,                0.95263,                0.88312,                0.93743,                0.50475,                 1.8253,                0.74481,                 1.6329,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.4048,                0.65284,                 1.2717,                0.98568,                 0.8938,                0.96509,                0.49253,                 1.8842,                0.70248,                 1.6189,               0.000878,               0.000878,               0.000878
                     87,                 1.3971,                0.62528,                 1.2753,                0.98605,                0.91799,                0.94855,                0.48228,                 1.8624,                0.78488,                 1.6235,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.4064,                0.64885,                 1.2927,                0.95552,                0.92208,                0.96151,                0.47584,                 1.8154,                0.79447,                 1.5941,              0.0008516,              0.0008516,              0.0008516
                     89,                  1.367,                0.63917,                 1.2668,                0.97208,                0.90444,                0.95025,                0.52205,                 1.7548,                0.69818,                 1.5409,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.3516,                0.63275,                 1.2689,                0.95179,                 0.8961,                0.93578,                0.49963,                 1.8321,                0.74088,                 1.6145,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.3711,                0.63381,                 1.2623,                0.98458,                0.90909,                0.95637,                 0.5104,                 1.8387,                0.75652,                 1.6441,               0.000812,               0.000812,               0.000812
                     92,                 1.3525,                0.63435,                  1.258,                0.98539,                0.87605,                0.94852,                 0.5277,                  1.815,                0.81934,                 1.5829,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.3364,                0.63963,                 1.2435,                0.95863,                0.90295,                0.95537,                0.51002,                 1.8776,                0.80481,                 1.6445,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.3765,                0.64077,                 1.2796,                0.97281,                0.92945,                0.95551,                 0.4944,                 1.9362,                0.75958,                 1.6838,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.3878,                 0.6343,                 1.2699,                0.96861,                0.88312,                0.94038,                0.49027,                 1.9301,                0.71459,                 1.6995,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.3434,                0.61783,                 1.2413,                0.95618,                0.93506,                0.94735,                0.47697,                  2.044,                0.73931,                 1.7825,               0.000746,               0.000746,               0.000746
                     97,                  1.327,                0.60416,                 1.2553,                0.95382,                 0.8961,                0.92054,                0.44596,                 2.0698,                0.83829,                 1.8682,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.3225,                 0.6131,                 1.2217,                0.95407,                0.87013,                0.92909,                0.45718,                 2.0254,                0.74992,                 1.7352,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.3337,                0.62272,                 1.2523,                0.98603,                0.91658,                0.97505,                0.52537,                 1.7993,                0.70087,                 1.5742,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.2947,                0.59503,                 1.2256,                0.98335,                0.92208,                0.97115,                0.50351,                 1.8905,                0.79879,                 1.6497,              0.0006932,              0.0006932,              0.0006932
                    101,                 1.3317,                0.61293,                 1.2483,                0.98353,                 0.8961,                0.96176,                0.50842,                 1.8821,                0.76405,                 1.6689,                0.00068,                0.00068,                0.00068
